year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
2026,3,23,8,53,2,0,0,16.56,51,nan
0.00,2026,3,23,8,53,13,0,0,16.56,51,17.69
0.00,2026,3,23,8,53,24,0,0,16.57,51,17.62
0.00,2026,3,23,8,53,35,0,0,16.57,51,11.69
0.00,2026,3,23,8,53,46,0,0,16.57,51,11.06
0.00,2026,3,23,8,53,57,0,0,16.57,51,11.19
0.00,2026,3,23,8,54,8,0,0,16.57,51,13.31
0.00,2026,3,23,8,54,19,0,0,16.59,51,15.81
0.00,2026,3,23,8,54,30,0,0,16.60,51,17.87
0.00,2026,3,23,8,54,41,0,0,16.62,51,20.44
0.00,2026,3,23,8,54,52,0,0,16.63,51,20.25
0.00,2026,3,23,8,55,3,0,0,16.64,51,21.50
0.00,2026,3,23,8,55,14,0,0,16.64,51,21.56
0.00,2026,3,23,8,55,25,0,0,16.64,51,21.56
0.00,2026,3,23,8,55,36,0,0,16.64,51,21.87
0.00,2026,3,23,8,55,47,0,0,16.65,51,28.06
0.00,2026,3,23,8,55,58,0,0,16.65,51,28.75
0.00,2026,3,23,8,56,9,0,0,16.66,51,24.56
0.00,2026,3,23,8,56,20,0,0,16.66,51,21.19
0.00,2026,3,23,8,56,31,0,0,16.66,51,20.06
0.00,2026,3,23,8,56,42,0,0,16.66,51,19.00
0.00,2026,3,23,8,56,53,0,0,16.66,51,18.37
0.00,2026,3,23,8,57,4,0,0,16.66,51,18.12
0.00,2026,3,23,8,57,15,0,0,16.67,51,17.81
0.00,2026,3,23,8,57,26,0,0,16.67,51,17.44
0.00,2026,3,23,8,57,37,0,0,16.68,51,17.56
0.00,2026,3,23,8,57,48,0,0,16.69,51,18.50
0.00,year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
2026,3,23,8,57,59,0,0,16.69,51,nan
0.00,year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
2026,3,23,9,5,32,510228012,37107812,15.95,50,nan
0.00,2026,3,23,9,5,38,510228094,37108304,15.92,50,12.69
0.00,2026,3,23,9,5,44,510227800,37109255,15.91,50,12.75
0.00,2026,3,23,9,5,50,510227766,37109546,15.98,50,12.88
