year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction
2026,3,26,13,27,17,0,0,15.42,36,11.31,0.00,0.00
2026,3,26,13,27,23,0,0,15.41,36,11.31,0.00,0.00
2026,3,26,13,27,29,0,0,15.39,37,11.31,0.00,0.00
2026,3,26,13,27,35,0,0,15.38,36,11.31,0.00,0.00
2026,3,26,13,27,41,0,0,15.36,37,11.31,0.00,0.00
2026,3,26,13,27,47,0,0,15.35,37,11.31,0.00,0.00
2026,3,26,13,27,53,0,0,15.33,37,11.31,0.00,0.00
2026,3,26,13,27,59,0,0,15.33,37,11.31,0.00,0.00
2026,3,26,13,28,5,0,0,15.27,37,11.38,0.00,0.00
2026,3,26,13,28,11,0,0,15.28,37,11.31,0.00,0.00
2026,3,26,13,28,17,0,0,15.28,37,11.19,0.00,0.00
2026,3,26,13,28,23,0,0,15.20,37,11.31,0.00,0.00
2026,3,26,13,28,29,0,0,15.16,37,11.44,0.00,0.00
2026,3,26,13,28,35,0,0,15.16,38,11.25,0.00,0.00
2026,3,26,13,28,41,0,0,15.18,38,11.44,0.00,0.00
2026,3,26,13,28,47,0,0,15.17,38,11.50,0.00,0.00
2026,3,26,13,28,53,0,0,15.18,38,11.63,0.00,0.00
2026,3,26,13,28,59,0,0,15.18,38,11.69,0.00,0.00
2026,3,26,13,29,5,0,0,15.18,38,11.75,0.00,0.00
2026,3,26,13,29,11,0,0,15.19,38,11.88,0.00,0.00
2026,3,26,13,29,17,0,0,15.20,38,12.19,0.00,0.00
2026,3,26,13,29,23,0,0,15.21,38,12.25,0.00,0.00
2026,3,26,13,29,29,0,0,15.23,38,12.31,0.00,0.00
2026,3,26,13,29,35,0,0,15.25,38,12.44,0.00,0.00
2026,3,26,13,29,41,0,0,15.27,38,12.44,0.00,0.00
2026,3,26,13,29,47,0,0,15.29,38,12.63,0.00,0.00
2026,3,26,13,29,53,0,0,15.31,38,12.69,0.00,0.00
2026,3,26,13,29,59,0,0,15.33,38,12.69,0.00,0.00
2026,3,26,13,30,5,0,0,15.36,38,12.75,0.00,0.00
2026,3,26,13,30,11,0,0,15.38,38,12.88,0.00,0.00
2026,3,26,13,30,17,0,0,15.40,38,12.94,0.00,0.00
2026,3,26,13,30,23,0,0,15.42,38,13.00,0.00,0.00
2026,3,26,13,30,29,0,0,15.45,38,13.00,0.00,0.00
2026,3,26,13,30,35,0,0,15.48,38,13.19,0.00,0.00
2026,3,26,13,30,41,0,0,15.49,38,13.25,0.00,0.00
2026,3,26,13,30,47,0,0,15.52,38,13.31,0.00,0.00
2026,3,26,13,30,53,0,0,15.54,38,13.31,0.00,0.00
2026,3,26,13,30,59,0,0,15.57,38,13.31,0.00,0.00
2026,3,26,13,31,5,0,0,15.60,38,13.56,0.00,0.00
2026,3,26,13,31,11,0,0,15.61,38,13.56,0.00,0.00
2026,3,26,13,31,17,0,0,15.64,38,13.69,0.00,0.00
2026,3,26,13,31,23,0,0,15.66,38,13.69,0.00,0.00
2026,3,26,13,31,29,0,0,15.69,38,13.75,0.00,0.00
2026,3,26,13,31,35,0,0,15.72,37,13.75,0.00,0.00
2026,3,26,13,31,41,0,0,15.75,37,13.75,0.00,0.00
2026,3,26,13,31,47,0,0,15.77,37,13.75,0.00,0.00
2026,3,26,13,31,53,0,0,15.80,37,13.75,0.00,0.00
2026,3,26,13,31,59,0,0,15.82,37,13.75,0.00,0.00
2026,3,26,13,32,5,0,0,15.85,37,14.00,0.00,0.00
2026,3,26,13,32,11,0,0,15.87,37,14.06,0.00,0.00
2026,3,26,13,32,17,0,0,15.89,37,14.06,0.00,0.00
2026,3,26,13,32,23,0,0,15.92,37,14.06,0.00,0.00
2026,3,26,13,32,29,0,0,15.94,37,14.06,0.00,0.00
2026,3,26,13,32,35,0,0,15.97,37,14.31,0.00,0.00
2026,3,26,13,32,41,0,0,15.98,37,14.25,0.00,0.00
2026,3,26,13,32,47,0,0,16.01,37,14.31,0.00,0.00
2026,3,26,13,32,53,0,0,16.03,37,14.31,0.00,0.00
2026,3,26,13,32,59,0,0,16.06,37,14.38,0.00,0.00
2026,3,26,13,33,5,0,0,16.08,37,14.44,0.00,0.00
2026,3,26,13,33,11,0,0,16.11,37,14.56,0.00,0.00
2026,3,26,13,33,17,0,0,16.13,37,14.63,0.00,0.00
2026,3,26,13,33,23,0,0,16.15,37,14.69,0.00,0.00
2026,3,26,13,33,29,0,0,16.17,37,14.63,0.00,0.00
2026,3,26,13,33,35,0,0,16.19,37,14.63,0.00,0.00
2026,3,26,13,33,41,0,0,16.21,37,14.63,0.00,0.00
2026,3,26,13,33,47,0,0,16.24,37,14.69,0.00,0.00
2026,3,26,13,33,53,0,0,16.25,37,14.75,0.00,0.00
2026,3,26,13,33,59,0,0,16.28,37,15.00,0.00,0.00
2026,3,26,13,34,5,0,0,16.29,37,14.94,0.00,0.00
2026,3,26,13,34,11,0,0,16.32,37,14.94,0.00,0.00
2026,3,26,13,34,17,0,0,16.35,37,14.94,0.00,0.00
2026,3,26,13,34,23,0,0,16.37,37,15.00,0.00,0.00
2026,3,26,13,34,29,0,0,16.39,37,15.19,0.00,0.00
2026,3,26,13,34,35,0,0,16.41,36,15.25,0.00,0.00
2026,3,26,13,34,41,0,0,16.44,36,15.19,0.00,0.00
2026,3,26,13,34,47,0,0,16.45,36,15.25,0.00,0.00
2026,3,26,13,34,53,0,0,16.48,36,15.31,0.00,0.00
2026,3,26,13,34,59,0,0,16.49,36,15.31,0.00,0.00
2026,3,26,13,35,5,0,0,16.51,36,15.38,0.00,0.00
2026,3,26,13,35,11,0,0,16.53,36,15.44,0.00,0.00
2026,3,26,13,35,17,0,0,16.55,36,15.50,0.00,0.00
2026,3,26,13,35,23,0,0,16.57,36,15.56,0.00,0.00
2026,3,26,13,35,29,0,0,16.59,36,15.56,0.00,0.00
2026,3,26,13,35,35,0,0,16.61,36,15.50,0.00,0.00
2026,3,26,13,35,41,0,0,16.62,36,15.63,0.00,0.00
2026,3,26,13,35,47,0,0,16.64,36,15.63,0.00,0.00
2026,3,26,13,35,53,0,0,16.66,36,15.56,0.00,0.00
2026,3,26,13,35,59,0,0,16.68,36,15.75,0.00,0.00
2026,3,26,13,36,5,0,0,16.70,36,15.75,0.00,0.00
2026,3,26,13,36,11,0,0,16.72,36,15.81,0.00,0.00
2026,3,26,13,36,17,0,0,16.74,36,15.81,0.00,0.00
2026,3,26,13,36,23,0,0,16.75,36,15.88,0.00,0.00
2026,3,26,13,36,29,0,0,16.77,36,15.88,0.00,0.00
2026,3,26,13,36,35,0,0,16.78,36,15.94,0.00,0.00
2026,3,26,13,36,41,0,0,16.81,36,15.94,0.00,0.00
2026,3,26,13,36,47,0,0,16.83,36,15.94,0.00,0.00
2026,3,26,13,36,53,0,0,16.84,36,15.94,0.00,0.00
2026,3,26,13,36,59,0,0,16.86,36,16.12,0.00,0.00
2026,3,26,13,37,5,0,0,16.88,36,16.12,0.00,0.00
2026,3,26,13,37,11,0,0,16.89,36,16.19,0.00,0.00
2026,3,26,13,37,17,0,0,16.91,36,16.19,0.00,0.00
2026,3,26,13,37,23,0,0,16.93,36,16.19,0.00,0.00
2026,3,26,13,37,29,0,0,16.94,36,16.25,0.00,0.00
2026,3,26,13,37,35,0,0,16.96,36,16.25,0.00,0.00
2026,3,26,13,37,41,0,0,16.97,36,16.25,0.00,0.00
2026,3,26,13,37,47,0,0,16.98,36,16.25,0.00,0.00
2026,3,26,13,37,53,0,0,17.00,36,16.31,0.00,0.00
2026,3,26,13,37,59,0,0,17.02,35,16.25,0.00,0.00
2026,3,26,13,38,5,0,0,17.03,35,16.31,0.00,0.00
2026,3,26,13,38,11,0,0,17.06,35,16.31,0.00,0.00
2026,3,26,13,38,17,0,0,17.07,35,16.37,0.00,0.00
2026,3,26,13,38,23,0,0,17.09,35,16.37,0.00,0.00
2026,3,26,13,38,29,0,0,17.10,35,16.37,0.00,0.00
2026,3,26,13,38,35,0,0,17.12,35,16.37,0.00,0.00
2026,3,26,13,38,41,0,0,17.12,35,16.44,0.00,0.00
2026,3,26,13,38,47,0,0,17.15,35,16.44,0.00,0.00
2026,3,26,13,38,53,0,0,17.15,35,16.62,0.00,0.00
2026,3,26,13,38,59,0,0,17.17,35,16.62,0.00,0.00
2026,3,26,13,39,5,0,0,17.19,35,16.62,0.00,0.00
2026,3,26,13,39,11,0,0,17.20,35,16.62,0.00,0.00
2026,3,26,13,39,17,0,0,17.21,35,16.62,0.00,0.00
2026,3,26,13,39,23,0,0,17.22,35,16.69,0.00,0.00
2026,3,26,13,39,29,0,0,17.24,35,16.75,0.00,0.00
2026,3,26,13,39,35,0,0,17.24,35,16.56,0.00,0.00
2026,3,26,13,39,41,0,0,17.26,35,16.62,0.00,0.00
2026,3,26,13,39,47,0,0,17.27,35,16.75,0.00,0.00
2026,3,26,13,39,53,0,0,17.28,35,16.75,0.00,0.00
2026,3,26,13,39,59,0,0,17.30,35,16.69,0.00,0.00
2026,3,26,13,40,5,0,0,17.31,35,16.75,0.00,0.00
2026,3,26,13,40,11,0,0,17.33,35,16.75,0.00,0.00
2026,3,26,13,40,17,0,0,17.34,35,16.75,0.00,0.00
2026,3,26,13,40,23,0,0,17.35,35,16.75,0.00,0.00
2026,3,26,13,40,29,0,0,17.36,35,16.75,0.00,0.00
2026,3,26,13,40,35,0,0,17.37,35,16.75,0.00,0.00
2026,3,26,13,40,41,0,0,17.38,35,16.81,0.00,0.00
2026,3,26,13,40,47,0,0,17.40,35,16.81,0.00,0.00
2026,3,26,13,40,53,0,0,17.41,35,16.94,0.00,0.00
2026,3,26,13,40,59,0,0,17.42,35,16.81,0.00,0.00
2026,3,26,13,41,5,0,0,17.43,35,16.87,0.00,0.00
2026,3,26,13,41,11,0,0,17.45,35,16.94,0.00,0.00
2026,3,26,13,41,17,0,0,17.46,35,16.94,0.00,0.00
2026,3,26,13,41,23,0,0,17.47,35,16.87,0.00,0.00
2026,3,26,13,41,29,0,0,17.48,35,16.87,0.00,0.00
2026,3,26,13,41,35,0,0,17.49,35,16.94,0.00,0.00
2026,3,26,13,41,41,0,0,17.50,35,16.94,0.00,0.00
2026,3,26,13,41,47,0,0,17.51,35,16.94,0.00,0.00
2026,3,26,13,41,53,0,0,17.53,35,16.87,0.00,0.00
2026,3,26,13,41,59,0,0,17.54,35,16.87,0.00,0.00
2026,3,26,13,42,5,0,0,17.54,35,17.12,0.00,0.00
2026,3,26,13,42,11,0,0,17.55,35,17.12,0.00,0.00
2026,3,26,13,42,17,0,0,17.57,35,17.19,0.00,0.00
2026,3,26,13,42,23,0,0,17.58,35,17.12,0.00,0.00
2026,3,26,13,42,29,0,0,17.59,35,17.12,0.00,0.00
2026,3,26,13,42,35,0,0,17.59,35,16.94,0.00,0.00
2026,3,26,13,42,41,0,0,17.61,35,17.12,0.00,0.00
2026,3,26,13,42,47,0,0,17.61,35,17.19,0.00,0.00
2026,3,26,13,42,53,0,0,17.62,35,17.19,0.00,0.00
2026,3,26,13,42,59,0,0,17.63,35,17.19,0.00,0.00
2026,3,26,13,43,5,0,0,17.65,35,17.19,0.00,0.00
2026,3,26,13,43,11,0,0,17.65,35,17.19,0.00,0.00
2026,3,26,13,43,17,0,0,17.67,35,17.19,0.00,0.00
2026,3,26,13,43,23,0,0,17.67,35,17.12,0.00,0.00
2026,3,26,13,43,29,0,0,17.68,35,17.12,0.00,0.00
2026,3,26,13,43,35,0,0,17.69,34,17.19,0.00,0.00
2026,3,26,13,43,41,0,0,17.70,34,17.19,0.00,0.00
2026,3,26,13,43,47,0,0,17.71,34,17.19,0.00,0.00
2026,3,26,13,43,53,0,0,17.72,34,17.25,0.00,0.00
2026,3,26,13,43,59,0,0,17.73,34,17.19,0.00,0.00
2026,3,26,13,44,5,0,0,17.74,34,17.25,0.00,0.00
2026,3,26,13,44,11,0,0,17.75,34,17.25,0.00,0.00
2026,3,26,13,44,17,0,0,17.76,34,17.25,0.00,0.00
2026,3,26,13,44,23,0,0,17.76,34,17.25,0.00,0.00
2026,3,26,13,44,29,0,0,17.77,34,17.25,0.00,0.00
2026,3,26,13,44,35,0,0,17.78,34,17.25,0.00,0.00
2026,3,26,13,44,41,0,0,17.79,34,17.31,0.00,0.00
2026,3,26,13,44,47,0,0,17.79,34,17.25,0.00,0.00
2026,3,26,13,44,53,0,0,17.80,34,17.31,0.00,0.00
2026,3,26,13,44,59,0,0,17.81,34,17.25,0.00,0.00
2026,3,26,13,45,5,0,0,17.82,34,17.25,0.00,0.00
2026,3,26,13,45,11,0,0,17.83,34,17.31,0.00,0.00
2026,3,26,13,45,17,0,0,17.84,34,17.31,0.00,0.00
2026,3,26,13,45,23,0,0,17.85,34,17.31,0.00,0.00
2026,3,26,13,45,29,0,0,17.86,34,17.31,0.00,0.00
2026,3,26,13,45,35,0,0,17.86,34,17.31,0.00,0.00
2026,3,26,13,45,41,0,0,17.87,34,17.31,0.00,0.00
2026,3,26,13,45,47,0,0,17.88,34,17.31,0.00,0.00
2026,3,26,13,45,53,0,0,17.89,34,17.31,0.00,0.00
2026,3,26,13,45,59,0,0,17.89,34,17.31,0.00,0.00
2026,3,26,13,46,5,0,0,17.90,34,17.37,0.00,0.00
2026,3,26,13,46,11,0,0,17.91,34,17.44,0.00,0.00
2026,3,26,13,46,17,0,0,17.91,34,17.44,0.00,0.00
2026,3,26,13,46,23,0,0,17.92,34,17.37,0.00,0.00
2026,3,26,13,46,29,0,0,17.93,34,17.37,0.00,0.00
2026,3,26,13,46,35,0,0,17.94,34,17.44,0.00,0.00
2026,3,26,13,46,41,0,0,17.95,34,17.44,0.00,0.00
2026,3,26,13,46,47,0,0,17.95,34,17.50,0.00,0.00
2026,3,26,13,46,53,0,0,17.96,34,17.56,0.00,0.00
2026,3,26,13,46,59,0,0,17.97,34,17.56,0.00,0.00
2026,3,26,13,47,5,0,0,17.97,34,17.62,0.00,0.00
2026,3,26,13,47,11,0,0,17.98,34,17.56,0.00,0.00
2026,3,26,13,47,17,0,0,17.98,34,17.31,0.00,0.00
2026,3,26,13,47,23,0,0,17.99,34,17.44,0.00,0.00
2026,3,26,13,47,29,0,0,18.00,34,17.50,0.00,0.00
2026,3,26,13,47,35,0,0,18.01,34,17.50,0.00,0.00
2026,3,26,13,47,41,0,0,18.02,34,17.50,0.00,0.00
2026,3,26,13,47,47,0,0,18.02,34,17.56,0.00,0.00
2026,3,26,13,47,53,0,0,18.04,34,17.56,0.00,0.00
2026,3,26,13,47,59,0,0,18.04,34,17.44,0.00,0.00
2026,3,26,13,48,5,0,0,18.05,34,17.44,0.00,0.00
2026,3,26,13,48,11,0,0,18.05,34,17.37,0.00,0.00
2026,3,26,13,48,17,0,0,18.06,34,17.44,0.00,0.00
2026,3,26,13,48,23,0,0,18.07,34,17.50,0.00,0.00
2026,3,26,13,48,29,0,0,18.07,34,17.62,0.00,0.00
2026,3,26,13,48,35,0,0,18.07,34,17.50,0.00,0.00
2026,3,26,13,48,41,0,0,18.09,34,17.56,0.00,0.00
2026,3,26,13,48,47,0,0,18.09,34,17.62,0.00,0.00
2026,3,26,13,48,53,0,0,18.10,34,17.62,0.00,0.00
2026,3,26,13,48,59,0,0,18.10,34,17.56,0.00,0.00
2026,3,26,13,49,5,0,0,18.11,34,17.56,0.00,0.00
2026,3,26,13,49,11,0,0,18.12,34,17.62,0.00,0.00
2026,3,26,13,49,17,0,0,18.12,34,17.69,0.00,0.00
2026,3,26,13,49,23,0,0,18.13,34,17.56,0.00,0.00
2026,3,26,13,49,29,0,0,18.13,34,17.69,0.00,0.00
2026,3,26,13,49,35,0,0,18.14,34,17.69,0.00,0.00
