year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction
2026,3,26,13,1,17,0,0,17.45,33,15.38,0.00,0.00
2026,3,26,13,1,23,0,0,17.45,33,15.44,0.00,0.00
2026,3,26,13,1,29,0,0,17.44,34,15.25,0.00,0.00
2026,3,26,13,1,35,0,0,17.44,34,15.50,0.00,0.00
2026,3,26,13,1,41,0,0,17.44,34,15.44,0.00,0.00
2026,3,26,13,1,47,0,0,17.42,33,15.31,0.00,0.00
2026,3,26,13,1,53,0,0,17.43,34,15.31,0.00,0.00
2026,3,26,13,1,59,0,0,17.43,34,15.31,0.00,0.00
2026,3,26,13,2,5,0,0,17.43,34,15.31,0.00,0.00
2026,3,26,13,2,11,0,0,17.43,34,15.44,0.00,0.00
2026,3,26,13,2,17,0,0,17.44,34,15.38,0.00,0.00
2026,3,26,13,2,23,0,0,17.42,34,15.56,0.00,0.00
2026,3,26,13,2,29,0,0,17.42,34,15.56,0.00,0.00
2026,3,26,13,2,35,0,0,17.41,34,15.50,0.00,0.00
2026,3,26,13,2,41,0,0,17.40,34,15.50,0.00,0.00
2026,3,26,13,2,47,0,0,17.39,34,15.56,0.00,0.00
2026,3,26,13,2,53,0,0,17.40,34,15.38,0.00,0.00
2026,3,26,13,2,59,0,0,17.40,34,15.50,0.00,0.00
2026,3,26,13,3,5,0,0,17.33,34,15.38,0.00,0.00
2026,3,26,13,3,11,0,0,17.30,34,15.25,0.00,0.00
2026,3,26,13,3,17,0,0,17.27,34,15.25,0.00,0.00
2026,3,26,13,3,23,0,0,17.24,34,15.13,0.00,0.00
2026,3,26,13,3,29,0,0,17.23,34,15.06,0.00,0.00
2026,3,26,13,3,35,0,0,17.25,34,15.19,0.00,0.00
2026,3,26,13,3,41,0,0,17.25,35,15.25,0.00,0.00
2026,3,26,13,3,47,0,0,17.26,35,15.44,0.00,0.00
2026,3,26,13,3,53,0,0,17.25,35,15.31,0.00,0.00
2026,3,26,13,3,59,0,0,17.26,35,15.38,0.00,0.00
2026,3,26,13,4,5,0,0,17.27,35,15.56,0.00,0.00
2026,3,26,13,4,11,0,0,17.28,35,15.50,0.00,0.00
