year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp
2024,8,9,8,31,19,510229944,37106361,23.72,71,26.00
2024,8,9,8,31,21,510229944,37106361,23.76,71,26.06
2024,8,9,16,57,35,510229944,37106361,25.27,51,27.44
2024,8,9,16,57,46,510229944,37106361,25.27,51,27.42
2024,8,9,16,57,57,510229944,37106361,25.27,51,27.37
2024,8,9,16,58,8,510999846,42355062,25.21,51,27.27
2024,8,9,16,58,19,510988977,42357364,25.21,51,27.12
2024,8,9,16,58,30,510995885,42355302,25.21,52,27.12
2024,8,9,16,58,41,510995936,42354993,25.21,52,27.04
2024,8,9,16,58,52,510995869,42355076,25.21,52,26.86
2024,8,9,16,59,3,510995487,42355673,25.21,52,26.81
2024,8,9,16,59,14,510995433,42355742,25.21,52,26.81
2024,8,9,16,59,25,510995330,42355395,25.21,51,26.75
2024,8,9,16,59,36,510995254,42355162,25.21,51,26.75
2024,8,9,16,59,47,510995160,42355061,25.18,51,26.58
2024,8,9,16,59,58,510994938,42354997,25.19,51,26.48
2024,8,9,17,0,9,510994932,42354922,25.17,52,26.44
2024,8,9,17,0,20,510995043,42354832,25.16,52,26.37
2024,8,9,17,0,31,510994963,42354988,25.16,52,26.37
2024,8,9,17,0,42,510994954,42355280,25.16,52,26.37
2024,8,9,17,0,53,510994943,42355399,25.16,53,26.37
2024,8,9,17,1,4,510994979,42355433,25.21,53,26.36
2024,8,9,17,1,15,510994936,42355327,25.20,53,26.37
2024,8,9,17,1,26,510994832,42355194,25.16,53,26.37
2024,8,9,17,1,37,510994744,42355101,25.16,53,26.37
2024,8,9,17,1,48,510994702,42355090,25.16,54,26.37
2024,8,9,17,1,59,510994631,42355111,25.16,54,26.37
2024,8,9,17,2,10,510994593,42355067,25.16,54,26.37
2024,8,9,17,2,21,510994719,42355135,25.16,54,26.37
2024,8,9,17,2,32,510994818,42355274,25.16,54,26.37
2024,8,9,17,2,43,510994879,42355439,25.20,53,26.37
2024,8,9,17,2,54,510994954,42355469,25.21,53,26.41
2024,8,9,17,3,5,510994988,42355411,25.21,53,26.44
2024,8,9,17,3,16,510995050,42355293,25.21,53,26.48
2024,8,9,17,3,27,510995101,42355349,25.21,53,26.50
2024,8,9,17,3,38,510995125,42355488,25.21,55,26.50
2024,8,9,17,3,49,510995116,42355568,25.21,55,26.50
2024,8,9,17,4,0,510995146,42355572,25.21,55,26.50
2024,8,9,17,4,11,510995188,42355365,25.21,55,26.50
2024,8,9,17,4,22,510995198,42355406,25.21,53,26.50
2024,8,9,17,4,33,510995138,42355214,25.21,52,26.50
2024,8,9,17,4,44,510995154,42355380,25.21,52,26.45
2024,8,9,17,4,55,510995220,42355432,25.21,52,26.44
2024,8,9,17,5,6,510995200,42355409,25.21,52,26.42
2024,8,9,17,5,17,510995146,42355838,25.21,54,26.37
2024,8,9,17,5,28,510995080,42355758,25.21,54,26.36
2024,8,9,17,5,39,510994993,42355522,25.21,54,26.31
2024,8,9,17,5,50,510994913,42355373,25.21,54,26.31
2024,8,9,17,6,1,510994794,42355246,25.21,54,26.31
2024,8,9,17,6,12,510994779,42355355,25.21,53,26.31
2024,8,9,17,6,23,510994834,42355350,25.21,53,26.31
2024,8,9,17,6,34,510995005,42355253,25.21,53,26.30
2024,8,9,17,6,45,510994994,42355187,25.21,53,26.25
2024,8,9,17,6,56,510995004,42355251,25.21,53,26.20
2024,8,9,17,7,7,510994943,42355082,25.21,54,26.19
2024,8,9,17,7,18,510994916,42355040,25.21,54,26.14
2024,8,9,17,7,29,510994861,42354810,25.21,54,26.12
2024,8,9,17,7,40,510994778,42354681,25.21,54,26.12
2024,8,9,17,7,51,510994737,42354793,25.21,56,26.12
2024,8,9,17,8,2,510994806,42354912,25.21,56,26.12
2024,8,9,17,8,13,510994777,42354952,25.21,56,26.12
2024,8,9,17,8,24,510994788,42354967,25.21,56,26.08
2024,8,9,17,8,35,510994729,42354920,25.21,55,26.06
2024,8,9,17,8,46,510994697,42354985,25.21,54,26.02
2024,8,9,17,8,57,510994696,42355050,25.21,54,25.97
2024,8,9,17,9,8,510994807,42355149,25.21,54,25.87
2024,8,9,17,9,19,510994872,42355214,25.21,54,25.87
2024,8,9,17,9,30,510994997,42355327,25.21,54,25.87
2024,8,9,17,9,41,510995082,42355405,25.21,54,25.81
2024,8,9,17,9,52,510995142,42355542,25.21,54,25.81
2024,8,9,17,10,3,510995177,42355464,25.21,54,25.81
2024,8,9,17,10,14,510995190,42355367,25.21,54,25.77
2024,8,9,17,10,25,510995267,42355455,25.17,52,25.75
2024,8,9,17,10,36,510995373,42355582,25.20,52,25.69
2024,8,9,17,10,47,510995452,42355617,25.21,52,25.69
2024,8,9,17,10,58,510995474,42355646,25.21,52,25.66
2024,8,9,17,11,9,510995469,42355531,25.21,52,25.62
2024,8,9,17,11,20,510995294,42355383,25.21,53,25.62
2024,8,9,17,11,31,510995192,42354520,25.20,53,25.62
2024,8,9,17,11,42,510995087,42353735,25.16,53,25.62
2024,8,9,17,11,53,510994790,42352033,25.18,53,25.62
2024,8,9,17,12,4,510995032,42349993,25.21,52,25.64
2024,8,9,17,12,15,510995522,42347935,25.21,52,25.80
2024,8,9,17,12,26,510995793,42346827,25.21,52,25.99
2024,8,9,17,12,37,510995873,42346811,25.21,52,26.23
2024,8,9,17,12,48,510996167,42346766,25.17,52,26.34
2024,8,9,17,12,59,510996345,42346807,25.16,52,26.44
2024,8,9,17,13,10,510996560,42347195,25.16,52,26.44
2024,8,9,17,13,21,510996672,42347128,25.16,52,26.47
2024,8,9,17,13,32,510996744,42347240,25.16,52,26.50
2024,8,9,17,13,43,510996867,42347602,25.16,52,26.50
2024,8,9,17,13,54,510997043,42348024,25.16,52,26.50
2024,8,9,17,14,5,510997035,42348265,25.14,52,26.50
2024,8,9,17,14,16,510996236,42347923,25.10,52,26.36
2024,8,9,17,14,27,510995588,42347599,25.10,52,26.30
2024,8,9,17,14,38,510995104,42349185,25.13,52,26.25
2024,8,9,17,14,49,510995028,42350329,25.16,52,26.25
2024,8,9,17,15,0,510994720,42350750,25.16,52,26.26
2024,8,9,17,15,11,510994554,42350983,25.11,52,26.44
2024,8,9,17,15,22,510994671,42351571,25.14,52,26.67
2024,8,9,17,15,33,510995003,42351825,25.16,53,26.95
2024,8,9,17,15,44,510995234,42352084,25.16,53,27.28
2024,8,9,17,15,55,510995299,42352325,25.16,53,27.62
2024,8,9,17,16,6,510995374,42352400,25.21,53,28.00
2024,8,9,17,16,17,510995443,42352452,25.20,52,28.39
2024,8,9,17,16,28,510995253,42352392,25.17,52,28.78
2024,8,9,17,16,39,510995013,42353246,25.21,52,29.12
2024,8,9,17,16,50,510994911,42354533,25.21,52,29.48
2024,8,9,17,17,1,510994164,42356114,25.21,52,29.78
2024,8,9,17,17,12,510993641,42357172,25.21,53,29.81
2024,8,9,17,17,23,510992143,42358545,25.21,54,29.92
2024,8,9,17,17,34,510990756,42359240,25.21,54,29.98
2024,8,9,17,17,45,510990036,42359759,25.21,54,30.00
2024,8,9,17,17,56,510989661,42359901,25.21,54,29.87
2024,8,9,17,18,7,510988678,42359953,25.21,52,29.65
2024,8,9,17,18,18,510987077,42359837,25.16,52,29.42
2024,8,9,17,18,29,510985073,42359606,25.16,52,29.22
2024,8,9,17,18,40,510982863,42359598,25.16,52,28.95
2024,8,9,17,18,51,510981947,42359414,25.14,52,28.72
2024,8,9,17,19,2,510980301,42359599,25.10,52,28.47
2024,8,9,17,19,13,510979456,42359009,25.10,52,28.23
2024,8,9,17,19,24,510978789,42358296,25.10,52,28.00
2024,8,9,17,19,35,510977031,42357625,25.10,52,27.80
2024,8,9,17,19,46,510975222,42357350,25.07,52,27.61
2024,8,9,17,19,57,510973527,42357125,25.05,53,27.44
2024,8,9,17,20,8,510971913,42357198,25.05,53,27.23
2024,8,9,17,20,19,510970463,42356879,25.05,53,27.08
2024,8,9,17,20,30,510968632,42356510,25.05,53,26.92
2024,8,9,17,20,41,510967236,42356150,25.05,54,26.76
2024,8,9,17,20,52,510966031,42355683,25.05,54,26.59
2024,8,9,17,21,3,510964755,42354654,25.05,54,26.48
2024,8,9,17,21,14,510963429,42353930,24.99,54,26.31
2024,8,9,17,21,25,510962705,42353220,24.99,54,26.16
2024,8,9,17,21,36,510961225,42352878,24.99,54,26.06
2024,8,9,17,21,47,510959861,42352530,24.99,54,25.97
2024,8,9,17,21,58,510958444,42352315,24.99,54,25.86
2024,8,9,17,22,9,510957083,42351961,24.96,54,25.75
2024,8,9,17,22,20,510956317,42352929,24.93,52,25.69
2024,8,9,17,22,31,510955896,42354514,24.93,52,25.69
2024,8,9,17,22,42,510954703,42356074,24.98,52,25.66
2024,8,9,17,22,53,510953013,42356666,24.95,52,25.59
2024,8,9,17,23,4,510951900,42355818,24.93,52,25.55
2024,8,9,17,23,15,510950285,42354786,24.93,52,25.50
2024,8,9,17,23,26,510949145,42352534,24.93,52,25.48
2024,8,9,17,23,37,510948372,42350613,24.93,52,25.44
2024,8,9,17,23,48,510947509,42348985,24.93,52,25.44
2024,8,9,17,23,59,510946945,42347049,24.93,52,25.44
2024,8,9,17,24,10,510946193,42345098,24.92,52,25.44
2024,8,9,17,24,21,510944904,42343338,24.88,52,25.44
2024,8,9,17,24,32,510943869,42342697,24.88,52,25.44
2024,8,9,17,24,43,510942245,42342558,24.91,52,25.44
2024,8,9,17,24,54,510940384,42341922,24.91,52,25.48
2024,8,9,17,25,5,510939018,42341335,24.88,52,25.50
2024,8,9,17,25,16,510937958,42340430,24.88,52,25.50
2024,8,9,17,25,27,510936589,42339441,24.88,52,25.44
2024,8,9,17,25,38,510936024,42339278,24.83,52,25.44
2024,8,9,17,25,49,510935704,42339192,24.82,53,25.44
2024,8,9,17,26,0,510935567,42339266,24.82,53,25.44
2024,8,9,17,26,11,510935518,42339358,24.82,53,25.39
2024,8,9,17,26,22,510935463,42339544,24.82,53,25.34
2024,8,9,17,26,33,510935378,42339622,24.82,52,25.30
2024,8,9,17,26,44,510935362,42339571,24.82,52,25.25
2024,8,9,17,26,55,510934909,42339338,24.80,52,25.25
2024,8,9,17,27,6,510933804,42339020,24.77,52,25.19
2024,8,9,17,27,17,510933096,42338414,24.80,52,25.14
2024,8,9,17,27,28,510932321,42337845,24.82,52,25.12
2024,8,9,17,27,39,510931074,42337172,24.78,52,25.12
2024,8,9,17,27,50,510929492,42336613,24.77,52,25.12
2024,8,9,17,28,1,510928265,42336297,24.77,52,25.17
2024,8,9,17,28,12,510926800,42335735,24.81,52,25.30
2024,8,9,17,28,23,510925433,42335492,24.82,53,25.44
2024,8,9,17,28,34,510924624,42335734,24.82,53,25.44
2024,8,9,17,28,45,510923502,42336613,24.77,53,25.52
2024,8,9,17,28,56,510922547,42337736,24.78,53,25.56
2024,8,9,17,29,7,510921190,42338996,24.81,52,25.61
2024,8,9,17,29,18,510920326,42340227,24.77,52,25.72
2024,8,9,17,29,29,510919196,42342037,24.77,52,25.85
2024,8,9,17,29,40,510917822,42343141,24.77,52,25.97
2024,8,9,17,29,51,510916776,42345099,24.77,52,26.06
2024,8,9,17,30,2,510915612,42347008,24.74,53,26.10
2024,8,9,17,30,13,510914846,42348595,24.72,53,26.19
2024,8,9,17,30,24,510914276,42350479,24.72,53,26.25
2024,8,9,17,30,35,510913703,42352063,24.72,53,26.25
2024,8,9,17,30,46,510913336,42353904,24.72,53,26.25
2024,8,9,17,30,57,510912371,42356290,24.66,53,26.25
2024,8,9,17,31,8,510912800,42358264,24.66,53,26.25
2024,8,9,17,31,19,510913407,42360503,24.66,53,26.25
2024,8,9,17,31,30,510914099,42362230,24.66,53,26.22
2024,8,9,17,31,41,510914879,42364179,24.65,53,26.19
2024,8,9,17,31,52,510915577,42366222,24.60,54,26.16
2024,8,9,17,32,3,510916057,42369420,24.58,54,26.00
2024,8,9,17,32,14,510916602,42372525,24.55,54,25.78
2024,8,9,17,32,25,510916799,42375293,24.55,54,25.72
2024,8,9,17,32,36,510917065,42377942,24.52,54,25.69
2024,8,9,17,32,47,510916591,42380043,24.49,53,25.59
2024,8,9,17,32,58,510916081,42381243,24.45,53,25.55
2024,8,9,17,33,9,510915743,42383055,24.44,53,25.33
2024,8,9,17,33,20,510915456,42384891,24.44,53,25.37
2024,8,9,17,33,31,510914708,42387415,24.38,53,25.37
2024,8,9,17,33,42,510914181,42389289,24.43,53,25.37
2024,8,9,17,33,53,510913430,42390988,24.37,53,25.44
2024,8,9,17,34,4,510913002,42393708,24.33,53,25.44
2024,8,9,17,34,15,510912746,42396330,24.33,54,25.47
2024,8,9,17,34,26,510912270,42398745,24.33,55,25.54
2024,8,9,17,34,37,510911753,42400809,24.33,55,25.62
2024,8,9,17,34,48,510911123,42401905,24.30,55,25.61
2024,8,9,17,34,59,510910489,42403475,24.27,55,25.50
2024,8,9,17,35,10,510910121,42403999,24.23,55,25.44
2024,8,9,17,35,21,510909775,42404646,24.22,55,25.36
2024,8,9,17,35,32,510909748,42405567,24.22,55,25.23
2024,8,9,17,35,43,510909309,42407625,24.17,55,25.15
2024,8,9,17,35,54,510909188,42408666,24.16,55,25.06
2024,8,9,17,36,5,510909111,42409143,24.16,56,24.98
2024,8,9,17,36,16,510909167,42409149,24.16,56,24.90
2024,8,9,17,36,27,510909107,42409260,24.16,56,24.81
2024,8,9,17,36,38,510909071,42409371,24.15,56,24.81
2024,8,9,17,36,49,510909106,42409470,24.10,56,24.81
2024,8,9,17,37,0,510909127,42409518,24.10,56,24.70
2024,8,9,17,37,11,510909298,42409444,24.10,56,24.62
2024,8,9,17,37,22,510909329,42409423,24.10,56,24.59
2024,8,9,17,37,33,510909332,42409430,24.10,56,24.56
2024,8,9,17,37,44,510909424,42409438,24.06,57,24.47
2024,8,9,17,37,55,510909498,42409416,24.05,57,24.41
2024,8,9,17,38,6,510909420,42409384,24.05,57,24.37
2024,8,9,17,38,17,510909242,42409366,24.05,57,24.31
2024,8,9,17,38,28,510909141,42409289,23.99,57,24.25
2024,8,9,17,38,39,510909012,42409253,23.99,60,24.20
2024,8,9,17,38,50,510909062,42409642,23.98,60,24.19
2024,8,9,17,39,1,510908906,42411279,23.94,60,24.19
2024,8,9,17,39,12,510908716,42412410,23.94,60,24.19
2024,8,9,17,39,23,510908656,42412466,23.94,57,24.19
2024,8,9,17,39,34,510908645,42412521,23.94,56,24.19
2024,8,9,17,39,45,510908652,42412657,23.94,56,24.25
2024,8,9,17,39,56,510908706,42412850,23.91,56,24.33
2024,8,9,17,40,7,510908733,42412954,23.88,56,24.37
2024,8,9,17,40,18,510908821,42413191,23.88,56,24.37
2024,8,9,17,40,29,510908785,42413264,23.88,56,24.42
2024,8,9,17,40,40,510908846,42413244,23.84,56,24.46
2024,8,9,17,40,51,510908759,42413151,23.83,56,24.50
2024,8,9,17,41,2,510908713,42413118,23.83,56,24.56
2024,8,9,17,41,13,510908684,42413140,23.83,57,24.56
2024,8,9,17,41,24,510908713,42413108,23.83,57,24.56
2024,8,9,17,41,35,510908679,42412988,23.82,57,24.62
2024,8,9,17,41,46,510908973,42413152,23.77,57,24.62
2024,8,9,17,41,57,510908818,42413732,23.80,57,24.66
2024,8,9,17,42,8,510908467,42414589,23.80,58,24.75
2024,8,9,17,42,19,510907822,42414936,23.77,58,24.81
2024,8,9,17,42,30,510907030,42415312,23.77,58,24.91
2024,8,9,17,42,41,510906212,42415137,23.77,58,24.94
2024,8,9,17,42,52,510905419,42415671,23.77,59,24.94
2024,8,9,17,43,3,510904836,42416005,23.73,59,24.94
2024,8,9,17,43,14,510904788,42416070,23.72,59,24.94
2024,8,9,17,43,25,510904751,42416094,23.72,59,24.84
2024,8,9,17,43,36,510904705,42416160,23.72,59,24.80
2024,8,9,17,43,47,510904741,42416126,23.72,61,24.67
2024,8,9,17,43,58,510904699,42416139,23.72,61,24.59
2024,8,9,17,44,9,510904732,42416203,23.72,61,24.48
2024,8,9,17,44,20,510904757,42416282,23.72,61,24.37
2024,8,9,17,44,31,510904786,42416325,23.72,63,24.26
2024,8,9,17,44,42,510904810,42416308,23.72,64,24.19
2024,8,9,17,44,53,510904863,42416348,23.72,64,24.09
2024,8,9,17,45,4,510904843,42416253,23.72,64,23.98
2024,8,9,17,45,15,510904882,42416222,23.72,64,23.89
2024,8,9,17,45,26,510904907,42416264,23.72,62,23.77
2024,8,9,17,45,37,510904916,42416277,23.72,62,23.70
2024,8,9,17,45,48,510904887,42416292,23.72,62,23.62
2024,8,9,17,45,59,510904885,42416338,23.72,62,23.55
2024,8,9,17,46,10,510904850,42416294,23.66,62,23.45
2024,8,9,17,46,21,510904844,42416286,23.66,63,23.35
2024,8,9,17,46,32,510904903,42416369,23.66,63,23.31
2024,8,9,17,46,43,510904843,42416294,23.66,63,23.23
2024,8,9,17,46,54,510904762,42416277,23.66,63,23.12
2024,8,9,17,47,5,510904686,42416242,23.66,63,23.09
2024,8,9,17,47,16,510904690,42416149,23.66,64,23.02
2024,8,9,17,47,27,510904796,42416023,23.66,64,22.95
2024,8,9,17,47,38,510904805,42416001,23.66,64,22.89
2024,8,9,17,47,49,510904779,42416093,23.66,64,22.87
2024,8,9,17,48,0,510904728,42416041,23.66,66,22.80
2024,8,9,17,48,11,510904764,42416051,23.66,66,22.75
2024,8,9,17,48,22,510904861,42416053,23.66,66,22.69
2024,8,9,17,48,33,510904909,42416161,23.66,66,22.69
2024,8,9,17,48,44,510904873,42416143,23.66,65,22.64
2024,8,9,17,48,55,510904851,42416128,23.61,63,22.62
2024,8,9,17,49,6,510904819,42416098,23.61,63,22.58
2024,8,9,17,49,17,510904848,42416075,23.61,63,22.55
2024,8,9,17,49,28,510904855,42416084,23.61,63,22.50
2024,8,9,17,49,39,510904841,42416103,23.61,63,22.44
2024,8,9,17,49,50,510904818,42416146,23.61,64,22.44
2024,8,9,17,50,1,510904857,42416108,23.61,64,22.44
2024,8,9,17,50,12,510904902,42416181,23.61,64,22.42
2024,8,9,17,50,23,510904922,42416233,23.61,64,22.37
2024,8,9,17,50,34,510904940,42416282,23.61,66,22.37
2024,8,9,17,50,45,510904923,42416206,23.56,66,22.31
2024,8,9,17,50,56,510904874,42416064,23.61,66,22.31
2024,8,9,17,51,7,510904803,42415991,23.61,66,22.25
2024,8,9,17,51,18,510904753,42416062,23.56,66,22.25
2024,8,9,17,51,29,510904788,42416107,23.59,66,22.25
2024,8,9,17,51,40,510904845,42416054,23.55,66,22.25
2024,8,9,17,51,51,510904826,42416072,23.55,66,22.25
2024,8,9,17,52,2,510904812,42416242,23.55,66,22.25
2024,8,9,17,52,13,510904793,42416215,23.55,65,22.25
2024,8,9,17,52,24,510904752,42416163,23.55,64,22.25
2024,8,9,17,52,35,510904727,42416206,23.52,64,22.23
2024,8,9,17,52,46,510904738,42416240,23.50,64,22.19
2024,8,9,17,52,57,510904777,42416176,23.50,64,22.19
2024,8,9,17,53,8,510904699,42416033,23.54,66,22.19
2024,8,9,17,53,19,510904685,42416148,23.55,66,22.19
2024,8,9,17,53,30,510904731,42416190,23.50,66,22.19
2024,8,9,17,53,41,510904771,42416163,23.50,66,22.19
2024,8,9,17,53,52,510904799,42416144,23.50,65,22.19
2024,8,9,17,54,3,510904797,42416122,23.50,65,22.19
2024,8,9,17,54,14,510904795,42416158,23.50,65,22.14
2024,8,9,17,54,25,510904788,42416135,23.50,65,22.12
2024,8,9,17,54,36,510904773,42416054,23.47,65,22.12
2024,8,9,17,54,47,510904743,42416070,23.44,65,22.12
2024,8,9,17,54,58,510904717,42416040,23.44,65,22.17
2024,8,9,17,55,9,510904666,42416037,23.44,65,22.15
2024,8,9,17,55,20,510904674,42416028,23.44,65,22.12
2024,8,9,17,55,31,510904712,42416038,23.44,65,22.12
2024,8,9,17,55,42,510904778,42416048,23.44,66,22.12
2024,8,9,17,55,53,510904787,42415995,23.44,66,22.12
2024,8,9,17,56,4,510904782,42415982,23.44,66,22.14
2024,8,9,17,56,15,510904831,42416027,23.44,66,22.12
2024,8,9,17,56,26,510904836,42416038,23.43,64,22.12
2024,8,9,17,56,37,510904802,42416037,23.40,62,22.12
2024,8,9,17,56,48,510904829,42416073,23.44,62,22.12
2024,8,9,17,56,59,510904819,42416088,23.44,62,22.12
2024,8,9,17,57,10,510904811,42416076,23.44,62,22.12
2024,8,9,17,57,21,510904859,42416042,23.41,65,22.12
2024,8,9,17,57,32,510904904,42416100,23.39,67,22.12
2024,8,9,17,57,43,510904881,42416191,23.39,67,22.12
2024,8,9,17,57,54,510904864,42416251,23.39,67,22.12
2024,8,9,17,58,5,510904903,42416235,23.39,67,22.12
2024,8,9,17,58,16,510904892,42416235,23.39,65,22.12
2024,8,9,17,58,27,510904908,42416188,23.33,65,22.12
2024,8,9,17,58,38,510904889,42416157,23.33,65,22.12
2024,8,9,17,58,49,510904794,42416260,23.37,65,22.12
2024,8,9,17,59,0,510904752,42416266,23.33,63,22.09
2024,8,9,17,59,11,510904776,42416223,23.33,62,22.06
2024,8,9,17,59,22,510904839,42416226,23.33,62,22.06
2024,8,9,17,59,33,510904924,42416182,23.33,62,22.06
2024,8,9,17,59,44,510904890,42416237,23.33,62,22.05
2024,8,9,17,59,55,510904895,42416241,23.33,64,22.00
2024,8,9,18,0,6,510904882,42416262,23.33,65,22.00
2024,8,9,18,0,17,510904812,42416163,23.33,65,22.00
2024,8,9,18,0,28,510904777,42416065,23.33,65,22.00
2024,8,9,18,0,39,510904793,42416122,23.29,65,22.00
2024,8,9,18,0,50,510904839,42416131,23.33,64,22.00
2024,8,9,18,1,1,510904853,42416124,23.33,64,21.97
2024,8,9,18,1,12,510904847,42416082,23.33,64,21.94
2024,8,9,18,1,23,510904855,42416072,23.27,64,21.94
2024,8,9,18,1,34,510904874,42416088,23.27,64,21.94
2024,8,9,18,1,45,510904865,42416093,23.27,64,21.94
2024,8,9,18,1,56,510904838,42416032,23.27,64,21.94
2024,8,9,18,2,7,510904867,42416052,23.27,64,21.94
2024,8,9,18,2,18,510904890,42415997,23.27,64,21.94
2024,8,9,18,2,29,510904937,42415978,23.27,64,21.94
2024,8,9,18,2,40,510904952,42416031,23.27,65,21.94
2024,8,9,18,2,51,510904979,42416081,23.27,65,21.92
2024,8,9,18,3,2,510904995,42416119,23.27,65,21.87
2024,8,9,18,3,13,510904957,42416093,23.27,65,21.87
2024,8,9,18,3,24,510904946,42416108,23.27,65,21.87
2024,8,9,18,3,35,510904974,42416110,23.22,65,21.87
2024,8,9,18,3,46,510904961,42416134,23.27,65,21.81
2024,8,9,18,3,57,510904937,42415980,23.23,65,21.81
2024,8,9,18,4,8,510904900,42415993,23.27,65,21.81
2024,8,9,18,4,19,510904861,42416005,23.27,65,21.78
2024,8,9,18,4,30,510904863,42416125,23.25,65,21.65
2024,8,9,18,4,41,510904835,42416180,23.25,65,21.62
2024,8,9,18,4,52,510904822,42416108,23.27,65,21.61
