year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction
2026,3,26,13,11,36,0,0,16.58,38,15.19,0.00,0.00
2026,3,26,13,11,42,0,0,16.57,38,15.19,0.00,0.00
2026,3,26,13,11,48,0,0,16.49,38,15.19,0.00,0.00
2026,3,26,13,11,54,0,0,16.52,38,15.19,0.00,0.00
2026,3,26,13,12,0,0,0,16.52,38,15.13,0.00,0.00
2026,3,26,13,12,6,0,0,16.52,38,15.13,0.00,0.00
2026,3,26,13,12,12,0,0,16.52,38,15.13,0.00,0.00
2026,3,26,13,12,18,0,0,16.51,38,15.13,0.00,0.00
2026,3,26,13,12,24,0,0,16.50,38,15.13,0.00,0.00
2026,3,26,13,12,30,0,0,16.51,38,15.06,0.00,0.00
2026,3,26,13,12,36,0,0,16.51,38,15.06,0.00,0.00
2026,3,26,13,12,42,0,0,16.50,38,15.06,0.00,0.00
2026,3,26,13,12,48,0,0,16.50,38,15.06,0.00,0.00
2026,3,26,13,12,54,0,0,16.50,38,15.06,0.00,0.00
2026,3,26,13,13,0,0,0,16.49,38,15.06,0.00,0.00
2026,3,26,13,13,6,0,0,16.47,38,15.06,0.00,0.00
2026,3,26,13,13,12,0,0,16.47,38,15.00,0.00,0.00
2026,3,26,13,13,18,0,0,16.44,38,15.00,0.00,0.00
2026,3,26,13,13,24,0,0,16.44,38,15.00,0.00,0.00
2026,3,26,13,13,30,0,0,16.45,38,15.00,0.00,0.00
2026,3,26,13,13,36,0,0,16.45,38,15.00,0.00,0.00
2026,3,26,13,13,42,542714927,53327069,16.44,38,15.00,0.00,0.00
2026,3,26,13,13,48,543492214,55203921,16.44,38,14.94,0.00,0.00
2026,3,26,13,13,54,544027031,55078482,16.46,38,14.94,0.00,0.00
2026,3,26,13,14,0,541373508,30589848,16.46,38,14.94,0.00,0.00
2026,3,26,13,14,6,541906599,30461818,16.46,38,14.94,0.00,0.00
2026,3,26,13,14,12,542597744,31456572,16.47,38,14.94,0.00,0.00
2026,3,26,13,14,18,549379921,84843580,16.48,38,14.94,0.00,0.00
2026,3,26,13,14,24,550623403,92650066,16.49,38,15.06,0.00,0.00
2026,3,26,13,14,30,535145339,-23193588,16.49,38,15.06,0.00,0.00
2026,3,26,13,14,36,523747160,-77193763,16.49,38,15.13,0.00,0.00
2026,3,26,13,14,42,524277526,-77323102,16.49,38,15.19,0.00,0.00
2026,3,26,13,14,48,517306466,-105561696,16.49,38,15.19,0.00,0.00
2026,3,26,13,14,54,502366864,-154917522,16.49,38,15.19,0.00,0.00
2026,3,26,13,15,0,496006016,-174203666,16.50,38,15.19,0.00,0.00
2026,3,26,13,15,6,475384644,-225697817,16.51,38,15.19,0.00,0.00
2026,3,26,13,15,12,475921640,-225801325,16.52,38,15.19,0.00,0.00
2026,3,26,13,15,18,480535499,-216736345,16.53,38,15.19,0.00,0.00
2026,3,26,13,15,24,469935370,-241186740,16.54,38,15.19,0.00,0.00
2026,3,26,13,15,30,477528667,-226111090,16.55,38,15.19,0.00,0.00
2026,3,26,13,15,36,478063025,-226214092,16.56,38,15.19,0.00,0.00
2026,3,26,13,15,42,453816518,-276294763,16.58,38,15.31,0.00,0.00
2026,3,26,13,15,48,460112953,-265541086,16.59,38,15.31,0.00,0.00
2026,3,26,13,15,54,434293159,-312174158,16.59,38,15.38,0.00,0.00
2026,3,26,13,16,0,434832170,-312249083,16.59,38,15.38,0.00,0.00
2026,3,26,13,16,6,448941226,-289318102,16.61,38,15.38,0.00,0.00
2026,3,26,13,16,12,462253234,-265904432,16.61,38,15.38,0.00,0.00
2026,3,26,13,16,18,502885410,-175700364,16.61,38,15.38,0.00,0.00
2026,3,26,13,16,24,519152678,-129662961,16.63,38,15.38,0.00,0.00
2026,3,26,13,16,30,527594185,-102801822,16.64,38,15.38,0.00,0.00
2026,3,26,13,16,36,535121346,-76113308,16.64,38,15.38,0.00,0.00
2026,3,26,13,16,42,528629259,-103051741,16.65,38,15.50,0.00,0.00
2026,3,26,13,16,48,547616325,-23690719,16.66,38,15.56,0.00,0.00
2026,3,26,13,16,54,556695389,28064913,16.66,38,15.56,0.00,0.00
2026,3,26,13,17,0,561083321,58471043,16.67,38,15.56,0.00,0.00
2026,3,26,13,17,6,568687242,157348650,16.63,37,15.56,0.00,0.00
2026,3,26,13,17,12,558229647,27695196,16.63,38,15.56,0.00,0.00
2026,3,26,13,17,18,568143229,122333070,16.63,38,15.63,0.00,0.00
2026,3,26,13,17,24,559815250,31529270,16.61,37,15.56,0.00,0.00
2026,3,26,13,17,30,545873586,-50725369,16.62,37,15.50,0.00,0.00
2026,3,26,13,17,36,540249151,-77376071,16.57,37,15.44,0.00,0.00
2026,3,26,13,17,42,546890342,-50978186,16.60,37,15.44,0.00,0.00
2026,3,26,13,17,48,535500145,-99937912,16.60,37,15.44,0.00,0.00
2026,3,26,13,17,54,528605747,-125860126,16.59,37,15.44,0.00,0.00
2026,3,26,13,18,0,536516830,-100185100,16.59,37,15.44,0.00,0.00
2026,3,26,13,18,6,548915590,-51482065,16.58,37,15.38,0.00,0.00
2026,3,26,13,18,12,521876145,-152062444,16.52,37,15.31,0.00,0.00
2026,3,26,13,18,18,564843115,33945751,16.49,37,15.31,0.00,0.00
2026,3,26,13,18,24,542395670,-86005324,16.50,38,15.38,0.00,0.00
2026,3,26,13,18,30,514268146,-178183081,16.49,38,15.44,0.00,0.00
2026,3,26,13,18,36,504742518,-203899266,16.50,38,15.44,0.00,0.00
2026,3,26,13,18,42,494307752,-229341809,16.50,38,15.44,0.00,0.00
2026,3,26,13,18,48,524923298,-152759464,16.51,38,15.44,0.00,0.00
2026,3,26,13,18,54,506275835,-204215118,16.50,38,15.44,0.00,0.00
2026,3,26,13,19,0,382947100,-407241166,16.50,38,15.38,0.00,0.00
2026,3,26,13,19,6,401400749,-385482459,16.48,38,15.38,0.00,0.00
2026,3,26,13,19,12,360730340,-433388783,16.49,38,15.38,0.00,0.00
2026,3,26,13,19,18,355567853,-438932595,16.48,38,15.44,0.00,0.00
2026,3,26,13,19,24,355567853,-438932595,16.48,38,15.38,0.00,0.00
