datetime,year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction,TotalSeconds
2026-04-30 13:29:17,2026,4,30,11,29,17,51.0233045,3.7104225,20.28,19,24.25,0.0,16275852.0,127.0
2026-04-30 13:29:23,2026,4,30,11,29,23,51.0233724,3.71035,20.43,19,24.31,0.0,16275852.0,133.0
2026-04-30 13:29:29,2026,4,30,11,29,29,51.0235281,3.7105049,20.46,19,24.44,0.0,16275852.0,139.0
2026-04-30 13:29:35,2026,4,30,11,29,35,51.0235633,3.7104507,20.42,18,24.75,0.0,16275852.0,145.0
2026-04-30 13:29:41,2026,4,30,11,29,41,51.0235592,3.7104371,20.31,19,25.0,0.0,16275852.0,151.0
2026-04-30 13:29:47,2026,4,30,11,29,47,51.0235108,3.7104592,20.33,19,25.19,0.0,16275852.0,157.0
2026-04-30 13:29:53,2026,4,30,11,29,53,51.0234657,3.710501,20.34,18,25.25,0.0,16275852.0,163.0
2026-04-30 13:29:59,2026,4,30,11,29,59,51.0234697,3.710475,20.35,18,25.25,0.0,16275852.0,169.0
2026-04-30 13:30:05,2026,4,30,11,30,5,51.0234889,3.7105341,20.35,19,25.31,1.0,16275852.0,175.0
2026-04-30 13:30:11,2026,4,30,11,30,11,51.0234293,3.710502,20.42,19,25.31,0.0,16275852.0,181.0
2026-04-30 13:30:17,2026,4,30,11,30,17,51.0232969,3.7105658,20.43,19,25.25,1.0,16275852.0,187.0
2026-04-30 13:30:23,2026,4,30,11,30,23,51.0232558,3.7105959,20.52,19,25.19,1.0,16725314.0,193.0
2026-04-30 13:30:29,2026,4,30,11,30,29,51.0233578,3.7105966,20.59,19,25.19,0.0,16725314.0,199.0
2026-04-30 13:30:35,2026,4,30,11,30,35,51.0233564,3.7106241,20.64,20,25.12,0.0,16725314.0,205.0
2026-04-30 13:30:41,2026,4,30,11,30,41,51.0234086,3.7105832,20.67,19,24.94,0.0,16725314.0,211.0
2026-04-30 13:30:47,2026,4,30,11,30,47,51.0234464,3.7105775,20.75,19,24.81,0.0,16725314.0,217.0
2026-04-30 13:30:53,2026,4,30,11,30,53,51.0235163,3.7105357,20.81,19,24.81,0.0,16725314.0,223.0
2026-04-30 13:30:59,2026,4,30,11,30,59,51.0235309,3.7104463,20.89,19,24.5,0.0,16725314.0,229.0
2026-04-30 13:31:05,2026,4,30,11,31,5,51.0235383,3.7103936,20.96,19,24.31,0.0,16725314.0,235.0
2026-04-30 13:31:11,2026,4,30,11,31,11,51.0233685,3.7104034,21.01,19,24.19,0.0,16725314.0,241.0
2026-04-30 13:31:17,2026,4,30,11,31,17,51.0233474,3.7103918,21.04,20,24.12,0.0,16725314.0,247.0
2026-04-30 13:31:23,2026,4,30,11,31,23,51.0233608,3.710365,21.07,19,24.0,0.0,16725314.0,253.0
2026-04-30 13:31:29,2026,4,30,11,31,29,51.0233596,3.710367,21.1,19,23.75,0.0,16725314.0,259.0
2026-04-30 13:31:35,2026,4,30,11,31,35,51.023361,3.7103409,21.12,19,24.06,0.0,16725314.0,265.0
2026-04-30 13:31:41,2026,4,30,11,31,41,51.0233265,3.7103022,21.12,19,24.0,0.0,16725314.0,271.0
2026-04-30 13:31:47,2026,4,30,11,31,47,51.0233015,3.7102869,21.2,20,24.0,0.0,16725314.0,277.0
2026-04-30 13:31:53,2026,4,30,11,31,53,51.0232971,3.7102788,21.24,23,23.75,0.0,18307788.0,283.0
2026-04-30 13:31:59,2026,4,30,11,31,59,51.0233115,3.7102647,21.19,20,23.81,0.0,18307788.0,289.0
2026-04-30 13:32:05,2026,4,30,11,32,5,51.0233198,3.710254,21.23,20,23.87,0.0,18307788.0,295.0
2026-04-30 13:32:11,2026,4,30,11,32,11,51.0233339,3.7102705,21.21,19,23.62,0.0,18307788.0,301.0
2026-04-30 13:32:17,2026,4,30,11,32,17,51.0233403,3.7102789,21.1,19,23.5,0.0,18307788.0,307.0
2026-04-30 13:32:23,2026,4,30,11,32,23,51.0233515,3.7102669,21.09,19,23.06,0.0,18307788.0,313.0
2026-04-30 13:32:29,2026,4,30,11,32,29,51.023359,3.7102443,21.13,19,22.94,0.0,18307788.0,319.0
2026-04-30 13:32:35,2026,4,30,11,32,35,51.0233616,3.7102424,21.19,19,22.81,0.0,18307788.0,325.0
2026-04-30 13:32:41,2026,4,30,11,32,41,51.0233591,3.7102519,21.16,19,22.31,0.0,18307788.0,331.0
2026-04-30 13:32:47,2026,4,30,11,32,47,51.0233667,3.7102693,21.16,19,22.25,0.0,18307788.0,337.0
2026-04-30 13:32:53,2026,4,30,11,32,53,51.0233608,3.7102691,21.13,19,22.06,0.0,18307788.0,343.0
2026-04-30 13:32:59,2026,4,30,11,32,59,51.0233544,3.7102623,21.16,19,22.12,0.0,18307788.0,349.0
2026-04-30 13:33:05,2026,4,30,11,33,5,51.0233408,3.7102449,21.23,21,22.12,0.0,18307788.0,355.0
2026-04-30 13:33:11,2026,4,30,11,33,11,51.0233319,3.7102373,21.27,20,22.06,0.0,18307788.0,361.0
2026-04-30 13:33:17,2026,4,30,11,33,17,51.0233187,3.710229,21.23,18,21.87,0.0,18307788.0,367.0
2026-04-30 13:33:23,2026,4,30,11,33,23,51.0233149,3.710229,21.21,18,21.94,0.0,18307788.0,373.0
2026-04-30 13:33:29,2026,4,30,11,33,29,51.0233119,3.7102345,21.16,18,21.75,0.0,18307788.0,379.0
2026-04-30 13:33:35,2026,4,30,11,33,35,51.0233113,3.7102294,21.12,18,21.69,0.0,18307788.0,385.0
2026-04-30 13:33:41,2026,4,30,11,33,41,51.0233081,3.7102377,21.13,18,21.69,0.0,18307788.0,391.0
2026-04-30 13:33:47,2026,4,30,11,33,47,51.0233039,3.7102467,21.12,18,21.69,0.0,18307788.0,397.0
2026-04-30 13:33:53,2026,4,30,11,33,53,51.0233036,3.7102457,21.12,18,21.56,0.0,18307788.0,403.0
2026-04-30 13:33:59,2026,4,30,11,33,59,51.023306,3.7102432,21.09,18,21.44,0.0,18307788.0,409.0
2026-04-30 13:34:05,2026,4,30,11,34,5,51.0233112,3.7102466,21.05,18,21.31,0.0,18307788.0,415.0
2026-04-30 13:34:11,2026,4,30,11,34,11,51.0233149,3.7102487,21.02,18,21.31,0.0,18307788.0,421.0
2026-04-30 13:34:17,2026,4,30,11,34,17,51.0233126,3.710257,21.03,18,21.31,0.0,18307788.0,427.0
2026-04-30 13:34:23,2026,4,30,11,34,23,51.0233156,3.7102587,20.99,18,21.31,0.0,18307788.0,433.0
2026-04-30 13:34:29,2026,4,30,11,34,29,51.0233332,3.7102446,20.8,18,21.44,0.0,18307788.0,439.0
2026-04-30 13:34:35,2026,4,30,11,34,35,51.0233428,3.710238,20.71,17,21.5,0.0,18307788.0,445.0
2026-04-30 13:34:41,2026,4,30,11,34,41,51.0233459,3.7102387,20.76,18,21.44,0.0,18307788.0,451.0
2026-04-30 13:34:47,2026,4,30,11,34,47,51.0233456,3.7102511,20.76,18,21.25,0.0,18307788.0,457.0
2026-04-30 13:34:53,2026,4,30,11,34,53,51.0233666,3.7102859,20.78,19,21.25,0.0,3753613.0,463.0
2026-04-30 13:34:59,2026,4,30,11,34,59,51.023393,3.7103303,20.76,18,21.19,0.0,3753613.0,469.0
2026-04-30 13:35:05,2026,4,30,11,35,5,51.023405,3.7103286,20.88,18,21.31,0.0,3753613.0,475.0
2026-04-30 13:35:11,2026,4,30,11,35,11,51.0234089,3.7103166,20.97,19,21.25,0.0,34719740.0,481.0
2026-04-30 13:35:17,2026,4,30,11,35,17,51.0233957,3.7103228,20.96,19,21.25,0.0,34719740.0,487.0
2026-04-30 13:35:23,2026,4,30,11,35,23,51.0233756,3.7103282,20.99,19,21.31,0.0,34719740.0,493.0
2026-04-30 13:35:29,2026,4,30,11,35,29,51.0233713,3.7103275,21.08,18,21.19,0.0,34719740.0,499.0
2026-04-30 13:35:35,2026,4,30,11,35,35,51.0233798,3.7103531,21.06,18,21.25,0.0,34719740.0,505.0
2026-04-30 13:35:41,2026,4,30,11,35,41,51.0233971,3.7103948,21.24,19,21.31,0.0,34719740.0,511.0
2026-04-30 13:35:47,2026,4,30,11,35,47,51.0233927,3.7104284,21.39,19,21.56,0.0,34719740.0,517.0
2026-04-30 13:35:53,2026,4,30,11,35,53,51.0233935,3.7104427,21.46,18,21.75,0.0,34719740.0,523.0
2026-04-30 13:35:59,2026,4,30,11,35,59,51.0233668,3.7104635,21.41,18,21.87,0.0,34719740.0,529.0
2026-04-30 13:36:05,2026,4,30,11,36,5,51.0233568,3.7104793,21.37,18,21.94,0.0,34719740.0,535.0
2026-04-30 13:36:11,2026,4,30,11,36,11,51.023367,3.7104695,21.47,19,22.06,0.0,34719740.0,541.0
2026-04-30 13:36:17,2026,4,30,11,36,17,51.0233737,3.7104723,21.63,18,22.19,0.0,34719740.0,547.0
2026-04-30 13:36:23,2026,4,30,11,36,23,51.0233857,3.7104598,21.74,21,22.12,0.0,34719740.0,553.0
2026-04-30 13:36:29,2026,4,30,11,36,29,51.0233957,3.7104675,21.84,20,22.31,0.0,34719740.0,559.0
2026-04-30 13:36:35,2026,4,30,11,36,35,51.0234066,3.7104811,21.95,21,22.31,0.0,34719740.0,565.0
2026-04-30 13:36:41,2026,4,30,11,36,41,51.023419,3.7104929,22.02,18,22.25,0.0,34719740.0,571.0
2026-04-30 13:36:47,2026,4,30,11,36,47,51.0234316,3.7105091,22.06,18,22.25,0.0,34719740.0,577.0
2026-04-30 13:36:53,2026,4,30,11,36,53,51.0234255,3.7104967,22.11,19,22.19,0.0,34719740.0,583.0
2026-04-30 13:36:59,2026,4,30,11,36,59,51.0234209,3.7105145,22.04,18,22.19,0.0,34719740.0,589.0
2026-04-30 13:37:05,2026,4,30,11,37,5,51.0234267,3.7105144,22.0,18,22.06,0.0,34719740.0,595.0
2026-04-30 13:37:11,2026,4,30,11,37,11,51.0234773,3.7104738,22.06,17,22.12,1.0,31479744.0,601.0
2026-04-30 13:37:17,2026,4,30,11,37,17,51.0235072,3.7103896,22.14,18,22.25,1.0,30176672.0,607.0
2026-04-30 13:37:23,2026,4,30,11,37,23,51.0235299,3.7103537,22.13,18,22.44,0.0,35358732.0,613.0
2026-04-30 13:37:29,2026,4,30,11,37,29,51.0235515,3.7102535,22.14,18,22.69,1.0,29542960.0,619.0
2026-04-30 13:37:35,2026,4,30,11,37,35,51.023578,3.7101558,22.29,19,23.12,1.0,29725450.0,625.0
2026-04-30 13:37:41,2026,4,30,11,37,41,51.0236166,3.7100314,22.35,19,23.5,1.0,30303468.0,631.0
2026-04-30 13:37:47,2026,4,30,11,37,47,51.0236496,3.7099347,22.37,17,23.94,2.0,23173958.0,637.0
2026-04-30 13:37:53,2026,4,30,11,37,53,51.0237043,3.7098583,22.31,17,24.12,1.0,30734880.0,643.0
