datetime,Davistemp,Davishumidity,BlackGlobetemp,Airvelocity,TotalSeconds,latitude,longitude
2026-04-30 13:37:15,20.9,25.3,30.0,0.0,605.0,51.0235262,3.7103638666666665
2026-04-30 13:37:20,21.3,25.6,30.2,1.3,610.0,51.02353239999999,3.7103159999999997
2026-04-30 13:37:25,21.7,25.9,30.5,0.0,615.0,51.02353735,3.71025215
2026-04-30 13:37:30,22.0,26.6,30.6,4.0,620.0,51.0235524,3.7101724
2026-04-30 13:37:35,21.6,27.5,30.9,5.5,625.0,51.023581683333326,3.710092133333333
2026-04-30 13:37:40,21.8,27.4,31.2,1.9,630.0,51.0236131,3.7100198
2026-04-30 13:37:45,22.0,26.9,31.5,3.8,635.0,51.02365285,3.7099703833333333
2026-04-30 13:37:50,22.1,26.5,31.7,2.7,640.0,51.02370953333333,3.7099217666666666
2026-04-30 13:37:55,22.4,26.3,31.9,1.8,645.0,51.023770999999996,3.7098836
2026-04-30 13:38:00,22.4,26.1,32.1,2.8,650.0,51.02383289999999,3.7098536999999996
2026-04-30 13:38:05,21.8,25.8,32.4,9.8,655.0,51.02389596666666,3.7098287666666665
2026-04-30 13:38:10,20.4,25.7,32.6,11.1,660.0,51.0239633,3.7098151
2026-04-30 13:38:15,19.7,25.7,33.5,6.9,665.0,51.024031550000004,3.709798933333333
2026-04-30 13:38:20,19.5,26.2,33.7,7.4,670.0,51.02409426666666,3.7097980999999995
2026-04-30 13:38:25,19.4,27.1,34.1,5.7,675.0,51.0241512,3.7098079999999998
2026-04-30 13:38:30,19.5,27.6,34.3,2.9,680.0,51.0242055,3.7098237999999997
2026-04-30 13:38:35,19.9,27.9,34.4,4.6,685.0,51.02426178333333,3.70984465
2026-04-30 13:38:40,20.4,28.5,34.6,6.0,690.0,51.0243242,3.7098779
2026-04-30 13:38:45,20.4,28.4,34.6,5.9,695.0,51.02437528333333,3.709912483333333
2026-04-30 13:38:50,20.5,28.2,34.8,9.3,700.0,51.0244273,3.7099351999999994
2026-04-30 13:38:55,20.4,27.9,34.8,4.1,705.0,51.0244803,3.7099582499999997
2026-04-30 13:39:00,20.4,27.9,34.8,5.7,710.0,51.02453383333333,3.709982133333333
2026-04-30 13:39:05,20.5,27.7,34.8,8.7,715.0,51.02458846666666,3.7100049166666667
2026-04-30 13:39:10,20.3,27.6,34.8,6.4,720.0,51.0246473,3.7100315
2026-04-30 13:39:15,20.0,27.5,34.7,7.4,725.0,51.02471263333333,3.7100769999999996
