datetime,year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,TotalSeconds
2026-04-30 13:34:36,2026,4,30,11,34,36,51.02338176666667,3.7105018333333333,14.51,0,26.75,446.0
2026-04-30 13:34:47,2026,4,30,11,34,47,51.02338881666666,3.7105020499999997,19.39,25,26.75,457.0
2026-04-30 13:34:58,2026,4,30,11,34,58,51.0233955,3.7104982,19.44,25,26.75,468.0
2026-04-30 13:35:09,2026,4,30,11,35,9,51.02341341666666,3.7105026999999993,19.45,25,26.75,479.0
2026-04-30 13:35:20,2026,4,30,11,35,20,51.02341906666666,3.710495833333333,19.45,25,26.75,490.0
2026-04-30 13:35:31,2026,4,30,11,35,31,51.0234322,3.71050675,19.51,25,26.8,501.0
2026-04-30 13:35:42,2026,4,30,11,35,42,51.023444133333335,3.7105129666666663,19.47,25,26.87,512.0
2026-04-30 13:35:53,2026,4,30,11,35,53,51.0234444,3.710511116666667,19.51,25,27.14,523.0
2026-04-30 13:36:04,2026,4,30,11,36,4,51.0234463,3.7105103,19.51,25,27.25,534.0
2026-04-30 13:36:15,2026,4,30,11,36,15,51.023448599999995,3.7104903499999993,19.52,25,27.25,545.0
2026-04-30 13:36:26,2026,4,30,11,36,26,51.02345106666667,3.7104913666666666,19.57,25,27.37,556.0
2026-04-30 13:36:37,2026,4,30,11,36,37,51.02345375,3.710487,19.57,25,27.58,567.0
2026-04-30 13:36:48,2026,4,30,11,36,48,51.0234642,3.7104869999999996,19.59,25,27.8,578.0
2026-04-30 13:36:59,2026,4,30,11,36,59,51.02346873333333,3.7104910499999995,19.62,25,27.87,589.0
2026-04-30 13:37:10,2026,4,30,11,37,10,51.0235092,3.7104332,19.66,25,27.87,600.0
2026-04-30 13:37:21,2026,4,30,11,37,21,51.023533099999995,3.7103075,19.64,24,27.89,611.0
2026-04-30 13:37:32,2026,4,30,11,37,32,51.0235639,3.7101394999999995,19.66,24,28.02,622.0
2026-04-30 13:37:43,2026,4,30,11,37,43,51.02363695,3.7099901500000003,19.68,24,28.1,633.0
2026-04-30 13:37:54,2026,4,30,11,37,54,51.02375863333333,3.7098898666666664,19.68,24,28.3,644.0
2026-04-30 13:38:05,2026,4,30,11,38,5,51.02389596666666,3.7098287666666665,19.68,24,28.48,655.0
2026-04-30 13:38:16,2026,4,30,11,38,16,51.0240452,3.7097957,19.73,25,28.69,666.0
2026-04-30 13:38:27,2026,4,30,11,38,27,51.02417279999999,3.7098138,19.73,25,28.69,677.0
2026-04-30 13:38:38,2026,4,30,11,38,38,51.02429923333333,3.7098645999999995,19.73,25,28.69,688.0
2026-04-30 13:38:49,2026,4,30,11,38,49,51.02441685,3.70993125,19.73,25,28.69,699.0
2026-04-30 13:39:00,2026,4,30,11,39,0,51.02453383333333,3.709982133333333,19.7,24,28.69,710.0
2026-04-30 13:39:11,2026,4,30,11,39,11,51.02466036666666,3.7100405999999992,19.7,24,28.47,721.0
2026-04-30 13:39:22,2026,4,30,11,39,22,51.0248026,3.7101308,19.7,24,28.3,732.0
2026-04-30 13:39:33,2026,4,30,11,39,33,51.024922716666666,3.710215983333333,19.68,24,28.1,743.0
2026-04-30 13:39:44,2026,4,30,11,39,44,51.0250429,3.7103116,19.68,24,27.97,754.0
2026-04-30 13:39:55,2026,4,30,11,39,55,51.025157300000004,3.71041965,19.68,25,27.81,765.0
2026-04-30 13:40:06,2026,4,30,11,40,6,51.0252718,3.710532333333333,19.68,25,27.84,776.0
2026-04-30 13:40:17,2026,4,30,11,40,17,51.0253659,3.7106391666666667,19.68,25,27.87,787.0
2026-04-30 13:40:28,2026,4,30,11,40,28,51.0254658,3.7104881,19.68,25,27.87,798.0
2026-04-30 13:40:39,2026,4,30,11,40,39,51.025525333333334,3.7102772,19.68,25,27.87,809.0
2026-04-30 13:40:50,2026,4,30,11,40,50,51.02564393333333,3.710165733333333,19.73,26,27.87,820.0
2026-04-30 13:41:01,2026,4,30,11,41,1,51.025679600000004,3.7099955,19.73,26,27.87,831.0
2026-04-30 13:41:12,2026,4,30,11,41,12,51.025683066666666,3.7099346666666664,19.73,26,27.87,842.0
2026-04-30 13:41:23,2026,4,30,11,41,23,51.02579756666667,3.70990275,19.73,26,27.79,853.0
2026-04-30 13:41:34,2026,4,30,11,41,34,51.0258163,3.7097245,19.73,25,27.59,864.0
2026-04-30 13:41:45,2026,4,30,11,41,45,51.02574108333333,3.7095241999999997,19.73,24,27.36,875.0
2026-04-30 13:41:56,2026,4,30,11,41,56,51.025670399999996,3.7093244666666667,19.73,24,27.14,886.0
2026-04-30 13:42:07,2026,4,30,11,42,7,51.02559585,3.70912985,19.73,24,27.12,897.0
2026-04-30 13:42:18,2026,4,30,11,42,18,51.02551876666666,3.7089284666666664,19.73,24,27.3,908.0
2026-04-30 13:42:29,2026,4,30,11,42,29,51.0254567,3.708730383333333,19.73,24,27.56,919.0
2026-04-30 13:42:40,2026,4,30,11,42,40,51.0253951,3.7085334,19.78,24,27.95,930.0
2026-04-30 13:42:51,2026,4,30,11,42,51,51.025323333333326,3.708317666666666,19.79,24,28.34,941.0
2026-04-30 13:43:02,2026,4,30,11,43,2,51.02527316666666,3.7081741,19.79,24,28.69,952.0
2026-04-30 13:43:13,2026,4,30,11,43,13,51.02522615,3.7080464,19.85,24,29.11,963.0
2026-04-30 13:43:24,2026,4,30,11,43,24,51.025233799999995,3.708031666666667,19.9,24,29.42,974.0
2026-04-30 13:43:35,2026,4,30,11,43,35,51.02523891666665,3.7080276833333325,19.9,24,29.69,985.0
2026-04-30 13:43:46,2026,4,30,11,43,46,51.0252344,3.7080129,19.91,24,29.83,996.0
2026-04-30 13:43:57,2026,4,30,11,43,57,51.02518264999999,3.7078593666666664,19.95,24,29.87,1007.0
2026-04-30 13:44:08,2026,4,30,11,44,8,51.02511796666666,3.7076627999999996,19.95,23,29.92,1018.0
2026-04-30 13:44:19,2026,4,30,11,44,19,51.025052,3.7074495,19.95,23,30.0,1029.0
2026-04-30 13:44:30,2026,4,30,11,44,30,51.02498666666666,3.7072315666666666,19.99,23,30.0,1040.0
2026-04-30 13:44:41,2026,4,30,11,44,41,51.02492763333333,3.7070130166666666,20.05,23,30.02,1051.0
2026-04-30 13:44:52,2026,4,30,11,44,52,51.0248453,3.7068093,20.02,23,30.12,1062.0
2026-04-30 13:45:03,2026,4,30,11,45,3,51.02478456666667,3.706609083333333,20.05,23,30.19,1073.0
2026-04-30 13:45:14,2026,4,30,11,45,14,51.024743799999996,3.706386966666667,20.07,23,30.19,1084.0
2026-04-30 13:45:25,2026,4,30,11,45,25,51.0246887,3.7061672999999997,20.07,23,30.19,1095.0
2026-04-30 13:45:36,2026,4,30,11,45,36,51.02463746666666,3.705935766666667,20.07,23,30.19,1106.0
2026-04-30 13:45:47,2026,4,30,11,45,47,51.02459016666666,3.705714433333333,20.08,23,30.23,1117.0
2026-04-30 13:45:58,2026,4,30,11,45,58,51.0245315,3.7055154,20.12,23,30.37,1128.0
2026-04-30 13:46:09,2026,4,30,11,46,9,51.02447718333333,3.7053077666666665,20.12,23,30.39,1139.0
2026-04-30 13:46:20,2026,4,30,11,46,20,51.024409999999996,3.7051011666666662,20.12,23,30.44,1150.0
2026-04-30 13:46:31,2026,4,30,11,46,31,51.0243521,3.7048865500000003,20.12,23,30.44,1161.0
2026-04-30 13:46:42,2026,4,30,11,46,42,51.02429546666666,3.704680433333333,20.12,23,30.37,1172.0
2026-04-30 13:46:53,2026,4,30,11,46,53,51.02423116666666,3.7044758166666663,20.12,23,30.34,1183.0
2026-04-30 13:47:04,2026,4,30,11,47,4,51.0241706,3.7042733,20.15,23,30.21,1194.0
2026-04-30 13:47:15,2026,4,30,11,47,15,51.024110449999995,3.704074966666666,20.18,23,30.09,1205.0
2026-04-30 13:47:26,2026,4,30,11,47,26,51.02404263333333,3.7038544333333334,20.18,23,29.97,1216.0
2026-04-30 13:47:37,2026,4,30,11,47,37,51.0239782,3.7036512999999998,20.13,23,29.76,1227.0
2026-04-30 13:47:48,2026,4,30,11,47,48,51.0239121,3.7034364333333327,20.12,23,29.41,1238.0
2026-04-30 13:47:59,2026,4,30,11,47,59,51.02384598333333,3.7032230999999998,20.12,23,29.22,1249.0
2026-04-30 13:48:10,2026,4,30,11,48,10,51.0237952,3.703005,20.07,23,28.83,1260.0
2026-04-30 13:48:21,2026,4,30,11,48,21,51.02374158333333,3.7027932999999997,20.11,23,28.54,1271.0
2026-04-30 13:48:32,2026,4,30,11,48,32,51.02368483333333,3.7026011999999997,20.05,23,28.14,1282.0
2026-04-30 13:48:43,2026,4,30,11,48,43,51.023615050000004,3.7023834,20.0,23,27.86,1293.0
2026-04-30 13:48:54,2026,4,30,11,48,54,51.023554,3.7021869999999995,19.95,23,27.66,1304.0
2026-04-30 13:49:05,2026,4,30,11,49,5,51.02349028333333,3.701991483333333,19.93,23,27.55,1315.0
2026-04-30 13:49:16,2026,4,30,11,49,16,51.0234418,3.7018717,19.9,23,27.48,1326.0
2026-04-30 13:49:27,2026,4,30,11,49,27,51.02340428333332,3.7018668166666666,19.9,23,27.44,1337.0
2026-04-30 13:49:38,2026,4,30,11,49,38,51.02329776666666,3.701763033333333,19.86,23,27.33,1348.0
2026-04-30 13:49:49,2026,4,30,11,49,49,51.0232412,3.7015558000000004,19.84,23,27.16,1359.0
2026-04-30 13:50:00,2026,4,30,11,50,0,51.023216633333334,3.7015029666666663,19.84,23,27.12,1370.0
2026-04-30 13:50:11,2026,4,30,11,50,11,51.0232082,3.7015179,19.8,23,27.08,1381.0
2026-04-30 13:50:22,2026,4,30,11,50,22,51.0232026,3.7015108,19.79,23,27.05,1392.0
2026-04-30 13:50:33,2026,4,30,11,50,33,51.023199999999996,3.7015078999999997,19.79,23,27.0,1403.0
2026-04-30 13:50:44,2026,4,30,11,50,44,51.02320756666666,3.701500933333333,19.73,23,27.05,1414.0
