datetime,year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction,TotalSeconds
2026-04-30 13:27:40,2026,4,30,11,27,40,51.0233687,3.7107628,20.16,20,18.94,1.0,29899482.0,30.0
2026-04-30 13:27:46,2026,4,30,11,27,46,51.0234514,3.7107116,20.25,20,19.31,1.0,28346296.0,36.0
2026-04-30 13:27:52,2026,4,30,11,27,52,51.023519,3.7106922,20.33,19,20.19,1.0,28346296.0,42.0
2026-04-30 13:27:58,2026,4,30,11,27,58,51.0235543,3.7106571,20.4,20,21.0,0.0,33122762.0,48.0
2026-04-30 13:28:04,2026,4,30,11,28,4,51.0234645,3.7104833,20.51,19,21.37,2.0,26583556.0,54.0
2026-04-30 13:28:10,2026,4,30,11,28,10,51.0235316,3.7104267,20.67,18,22.0,1.0,28338364.0,60.0
2026-04-30 13:28:16,2026,4,30,11,28,16,51.02357,3.7102712,20.77,18,22.81,1.0,29063900.0,66.0
2026-04-30 13:28:22,2026,4,30,11,28,22,51.023574,3.7101834,20.41,18,23.44,0.0,29063900.0,72.0
2026-04-30 13:28:28,2026,4,30,11,28,28,51.0234292,3.7101506,20.43,18,23.81,0.0,29063900.0,78.0
2026-04-30 13:28:34,2026,4,30,11,28,34,51.0235121,3.7102564,20.49,18,24.06,0.0,29063900.0,84.0
2026-04-30 13:28:40,2026,4,30,11,28,40,51.0235029,3.7102367,20.74,18,24.5,0.0,29063900.0,90.0
2026-04-30 13:28:46,2026,4,30,11,28,46,51.0234966,3.7102318,20.71,18,25.37,0.0,29063900.0,96.0
2026-04-30 13:28:52,2026,4,30,11,28,52,51.0234976,3.7102381,20.77,18,25.5,0.0,29063900.0,102.0
2026-04-30 13:28:58,2026,4,30,11,28,58,51.0235153,3.7102623,20.73,18,25.75,0.0,29063900.0,108.0
2026-04-30 13:29:04,2026,4,30,11,29,4,51.0235257,3.7102733,20.77,18,26.0,0.0,29063900.0,114.0
2026-04-30 13:29:10,2026,4,30,11,29,10,51.0235265,3.7102775,20.65,18,26.0,0.0,29063900.0,120.0
2026-04-30 13:29:16,2026,4,30,11,29,16,51.0235326,3.7102822,20.73,18,26.06,0.0,29063900.0,126.0
2026-04-30 13:29:22,2026,4,30,11,29,22,51.0235372,3.7102791,20.96,18,26.19,0.0,29063900.0,132.0
2026-04-30 13:29:28,2026,4,30,11,29,28,51.0235363,3.7102726,20.98,19,26.56,0.0,29063900.0,138.0
2026-04-30 13:29:34,2026,4,30,11,29,34,51.0235385,3.7102797,21.01,18,26.62,0.0,29063900.0,144.0
2026-04-30 13:29:40,2026,4,30,11,29,40,51.0235398,3.7102824,20.95,18,26.31,0.0,29063900.0,150.0
2026-04-30 13:29:46,2026,4,30,11,29,46,51.0235446,3.7102913,20.91,18,26.12,0.0,29063900.0,156.0
2026-04-30 13:29:52,2026,4,30,11,29,52,51.023535,3.7102737,20.85,18,25.69,0.0,29063900.0,162.0
2026-04-30 13:29:58,2026,4,30,11,29,58,51.0235336,3.710269,20.92,18,25.37,0.0,29063900.0,168.0
2026-04-30 13:30:04,2026,4,30,11,30,4,51.0235016,3.7102875,20.86,18,25.19,0.0,29063900.0,174.0
2026-04-30 13:30:10,2026,4,30,11,30,10,51.0234891,3.7103611,20.96,18,25.12,0.0,29063900.0,180.0
2026-04-30 13:30:16,2026,4,30,11,30,16,51.0234939,3.7104056,21.06,18,25.31,0.0,29063900.0,186.0
2026-04-30 13:30:22,2026,4,30,11,30,22,51.0234912,3.7104593,21.15,18,25.5,0.0,29063900.0,192.0
2026-04-30 13:30:28,2026,4,30,11,30,28,51.0234912,3.7104613,21.07,18,25.5,0.0,29063900.0,198.0
2026-04-30 13:30:34,2026,4,30,11,30,34,51.0234804,3.7104492,21.0,19,25.37,0.0,29063900.0,204.0
2026-04-30 13:30:40,2026,4,30,11,30,40,51.0234738,3.7104466,20.99,19,25.0,0.0,29063900.0,210.0
2026-04-30 13:30:46,2026,4,30,11,30,46,51.0234569,3.7104438,21.12,19,24.87,0.0,29063900.0,216.0
2026-04-30 13:30:52,2026,4,30,11,30,52,51.0234387,3.7104728,21.24,19,24.94,0.0,29063900.0,222.0
2026-04-30 13:30:58,2026,4,30,11,30,58,51.0233896,3.7104839,21.32,19,25.37,0.0,29063900.0,228.0
2026-04-30 13:31:04,2026,4,30,11,31,4,51.0233725,3.7104964,21.43,18,26.25,0.0,29063900.0,234.0
2026-04-30 13:31:10,2026,4,30,11,31,10,51.0233808,3.7105065,21.51,19,27.0,0.0,29063900.0,240.0
