datetime,year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction,TotalSeconds
2026-04-30 13:27:10,2026,4,30,11,27,10,51.0237562,3.7109644,19.76,20,17.75,2.0,34443996.0,0.0
2026-04-30 13:27:16,2026,4,30,11,27,16,51.0236727,3.7109786,19.79,23,17.87,0.0,35738888.0,6.0
2026-04-30 13:27:22,2026,4,30,11,27,22,51.0238721,3.7108322,19.82,25,18.06,1.0,35198004.0,12.0
2026-04-30 13:27:28,2026,4,30,11,27,28,51.0236068,3.7109528,19.84,23,18.31,1.0,33809752.0,18.0
2026-04-30 13:27:34,2026,4,30,11,27,34,51.0235322,3.7109319,19.91,26,18.44,1.0,29323160.0,24.0
2026-04-30 13:27:40,2026,4,30,11,27,40,51.0235084,3.7108566,20.0,24,18.56,1.0,28774900.0,30.0
2026-04-30 13:27:46,2026,4,30,11,27,46,51.0235102,3.710757,20.14,20,18.81,1.0,28006176.0,36.0
2026-04-30 13:27:52,2026,4,30,11,27,52,51.0235274,3.7106635,20.28,20,19.25,0.0,28414256.0,42.0
2026-04-30 13:27:58,2026,4,30,11,27,58,51.0235535,3.7106307,20.34,19,19.5,0.0,30731812.0,48.0
2026-04-30 13:28:04,2026,4,30,11,28,4,51.0235581,3.7105345,20.62,20,20.06,1.0,28124216.0,54.0
2026-04-30 13:28:10,2026,4,30,11,28,10,51.0235785,3.7104227,20.73,18,20.44,1.0,29119496.0,60.0
2026-04-30 13:28:16,2026,4,30,11,28,16,51.0236063,3.7103263,20.79,18,21.19,1.0,28852876.0,66.0
2026-04-30 13:28:22,2026,4,30,11,28,22,51.0236054,3.7103054,20.46,18,21.69,0.0,28852876.0,72.0
2026-04-30 13:28:28,2026,4,30,11,28,28,51.0236016,3.7103096,20.53,18,22.06,0.0,28852876.0,78.0
2026-04-30 13:28:34,2026,4,30,11,28,34,51.0235873,3.7103085,20.56,19,22.56,0.0,28852876.0,84.0
2026-04-30 13:28:40,2026,4,30,11,28,40,51.0235641,3.7102932,20.75,18,22.87,0.0,28852876.0,90.0
2026-04-30 13:28:46,2026,4,30,11,28,46,51.0235431,3.7102801,20.85,18,23.44,0.0,28852876.0,96.0
2026-04-30 13:28:52,2026,4,30,11,28,52,51.0235337,3.7102725,20.95,18,24.0,0.0,28852876.0,102.0
2026-04-30 13:28:58,2026,4,30,11,28,58,51.023531,3.7102707,21.06,18,24.5,0.0,28852876.0,108.0
2026-04-30 13:29:04,2026,4,30,11,29,4,51.0235277,3.7102718,21.12,18,24.94,0.0,28852876.0,114.0
2026-04-30 13:29:10,2026,4,30,11,29,10,51.0235276,3.7102722,21.05,18,25.25,0.0,28852876.0,120.0
2026-04-30 13:29:16,2026,4,30,11,29,16,51.0235246,3.7102723,21.16,18,25.56,0.0,28852876.0,126.0
2026-04-30 13:29:22,2026,4,30,11,29,22,51.0235275,3.7102789,21.27,18,25.94,0.0,28852876.0,132.0
2026-04-30 13:29:28,2026,4,30,11,29,28,51.023527,3.7102724,21.26,19,26.19,0.0,28852876.0,138.0
2026-04-30 13:29:34,2026,4,30,11,29,34,51.0235198,3.7102796,21.28,18,26.25,0.0,22460260.0,144.0
2026-04-30 13:29:40,2026,4,30,11,29,40,51.0235154,3.7102808,21.26,17,26.25,0.0,22460260.0,150.0
2026-04-30 13:29:46,2026,4,30,11,29,46,51.0235091,3.7102902,21.21,18,26.19,0.0,22460260.0,156.0
2026-04-30 13:29:52,2026,4,30,11,29,52,51.0234991,3.7102965,21.37,17,26.12,0.0,22460260.0,162.0
2026-04-30 13:29:58,2026,4,30,11,29,58,51.0234818,3.7103055,21.55,17,25.81,0.0,22460260.0,168.0
2026-04-30 13:30:04,2026,4,30,11,30,4,51.0234624,3.7103486,21.51,17,25.56,0.0,12066056.0,174.0
2026-04-30 13:30:10,2026,4,30,11,30,10,51.0234239,3.7104136,21.66,17,25.25,0.0,11189177.0,180.0
2026-04-30 13:30:16,2026,4,30,11,30,16,51.0233963,3.7104907,21.81,17,25.19,0.0,11459336.0,186.0
2026-04-30 13:30:22,2026,4,30,11,30,22,51.023386,3.7105507,21.86,17,25.06,0.0,11459336.0,192.0
2026-04-30 13:30:28,2026,4,30,11,30,28,51.0233939,3.7105715,21.66,17,24.94,0.0,11459336.0,198.0
2026-04-30 13:30:34,2026,4,30,11,30,34,51.0234048,3.7105716,21.57,18,24.94,0.0,11459336.0,204.0
2026-04-30 13:30:40,2026,4,30,11,30,40,51.0234077,3.710564,21.56,18,24.69,0.0,18628928.0,210.0
2026-04-30 13:30:46,2026,4,30,11,30,46,51.023429,3.7105431,21.72,19,24.56,0.0,18628928.0,216.0
2026-04-30 13:30:52,2026,4,30,11,30,52,51.0234257,3.7105417,21.85,18,24.5,0.0,18628928.0,222.0
2026-04-30 13:30:58,2026,4,30,11,30,58,51.0234237,3.7105316,21.98,18,24.5,0.0,18628928.0,228.0
2026-04-30 13:31:04,2026,4,30,11,31,4,51.0234266,3.7105202,22.12,18,24.44,0.0,18628928.0,234.0
2026-04-30 13:31:10,2026,4,30,11,31,10,51.0234174,3.7104923,22.24,18,24.44,0.0,18628928.0,240.0
2026-04-30 13:31:16,2026,4,30,11,31,16,51.0234175,3.7104772,22.37,18,24.44,0.0,18628928.0,246.0
2026-04-30 13:31:22,2026,4,30,11,31,22,51.0234207,3.7104782,22.49,19,24.44,0.0,18628928.0,252.0
2026-04-30 13:31:28,2026,4,30,11,31,28,51.0234263,3.7104872,22.59,18,24.5,0.0,18628928.0,258.0
2026-04-30 13:31:34,2026,4,30,11,31,34,51.0234305,3.7104983,22.72,18,24.44,0.0,18628928.0,264.0
2026-04-30 13:31:40,2026,4,30,11,31,40,51.023428,3.7105072,22.81,18,24.56,0.0,18281712.0,270.0
2026-04-30 13:31:46,2026,4,30,11,31,46,51.0234073,3.7105221,22.81,18,24.56,0.0,20459592.0,276.0
2026-04-30 13:31:52,2026,4,30,11,31,52,51.0234147,3.7105268,22.89,19,24.75,0.0,20459592.0,282.0
2026-04-30 13:31:58,2026,4,30,11,31,58,51.023408,3.7105124,22.91,19,24.75,0.0,20459592.0,288.0
2026-04-30 13:32:04,2026,4,30,11,32,4,51.0233949,3.7104944,22.8,17,24.75,0.0,20459592.0,294.0
2026-04-30 13:32:10,2026,4,30,11,32,10,51.0233846,3.7104821,22.89,17,24.69,0.0,20459592.0,300.0
2026-04-30 13:32:16,2026,4,30,11,32,16,51.0233787,3.7104707,22.91,17,24.56,0.0,20459592.0,306.0
2026-04-30 13:32:22,2026,4,30,11,32,22,51.0233709,3.7104589,22.99,17,24.37,0.0,20459592.0,312.0
2026-04-30 13:32:28,2026,4,30,11,32,28,51.023365,3.7104519,22.9,17,23.94,0.0,20459592.0,318.0
2026-04-30 13:32:34,2026,4,30,11,32,34,51.0233615,3.7104434,22.78,17,23.81,0.0,20459592.0,324.0
2026-04-30 13:32:40,2026,4,30,11,32,40,51.0233605,3.7104361,22.84,17,23.69,0.0,20459592.0,330.0
2026-04-30 13:32:46,2026,4,30,11,32,46,51.0233632,3.7104438,22.89,17,23.44,0.0,20459592.0,336.0
2026-04-30 13:32:52,2026,4,30,11,32,52,51.0233678,3.7104536,22.92,17,23.31,0.0,20459592.0,342.0
